title,published,deadline,source,location,region,ville,experience,salary,work_mode,apply_email,apply_url,summary
Offres d'emploi Union Camerounaise de Brasseries (UCB) juillet 2026 - plusieurs profils,2026-07-14T09:15:24.767000+01:00,,cameroondesks,,,,Trois ans d’expérience dans un poste similaire sont requis,,,mailto:recrutement@sa-ucb.com,,"UNION CAMEROUNAISE DE BRASSERIES (UCB) RECRUTE | OFFRE D'EMPLOI L’Union Camerounaise de Brasseries (UCB), entreprise majeure du secteur brassicole et filiale du Groupe KADJI, lance un appel à candidatures pour renforcer sa Direction Finance. Basé à Douala, ce poste de Contrôleur de Gestion Junior (M"
Recrutement à l'UNICEF Cameroun juillet 2026 : Lot de 3 postes,2026-07-14T09:02:54.485000+01:00,,cameroondesks,,,,"Au moins 6 ans d'expérience à responsabilités croissantes dans les domaines des opérations, de l'adm",,,,https://secure.dc7.pageuppeople.com/apply/TransferRichTextFile.ashx?sData=UFUtVjMt6ZrYuofuVRxKIkL1eGuhK_TxOcBvOX5zjbSV2pbhF0feqZl_D8ImUhGfh3tGqeqVNGy14iDB-uBoFuIxCmBxk5OTDZlrxXX9QtgQg4_HmGd8_3EHOmtVvhCfpWs3r1T8aknQoWW3YZajMh5__jQmQA%7e%7e; https://jobs.unicef.org/en-us/filter/?search-keyword=&location=cameroon,"UNICEF Cameroun recrute pour les besoins de ses services les profils suivants : Lot de 3 postes, adjoint administratif (construction) (G-6), TA (364 jours), n° 137984, n° 137905, n° 138047, Buea, Bertoua, Cameroun - WCAR Le/la titulaire du poste contribuera à l’intégration des concepts d’accessibili"
Recrutement Garoua et Mayo Rey juillet 2026 : Cible RH Emploi recrute massivement,2026-07-14T08:50:44.323000+01:00,,cameroondesks,,,,,,,,,"ALERTE EMPLOI a Garoua et dans tout le Mayo Rey ! Cible RH Emploi recrute massivement : Macons, Coffreurs, Plombiers, Cuisiniers, Chauffeurs de tricycles, et bien d'autres ! Pour postuler : Deposez votre CV + CNI a notre agence de Garoua (Quartier Foulbere, en face de la station TotalEnergies) ou sc"
Liste des banques qui recrutent actuellement au Cameroun : juin 2026,2026-07-13T17:31:58.352000+01:00,,cameroondesks,"Régions du Centre, de l'Ouest et du Littoral",,,,,,,,"Le marché de l’emploi dans le secteur bancaire au Cameroun reste en pleine dynamique. La transformation digitale des services financiers, l’essor des fintechs et l’évolution des besoins des clients continuent de pousser les banques à renforcer leurs équipes afin de rester compétitives et innovantes."
Recrutement MTN Cameroon juillet 2026 : Vice-président des services numériques et Marketing,2026-07-13T16:44:41.957000+01:00,,cameroondesks,,,,,,,,https://ehle.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/7556,"Responsable - Vice-président des services numériques, stratégie de mise sur le marché et conception de l'expérience. Marketing Responsabilités Mise en œuvre de la stratégie : – Contribuer à l’élaboration de stratégies de services numériques pour les médias, le divertissement et le commerce électroni"
Recrutement ONG GIZ Cameroun juillet 2026,2026-07-13T12:24:31.166000+01:00,,cameroondesks,,Centre,Yaoundé,,,,,https://apply.workable.com/giz-kamerun/j/86D43C8D9F/,Description APPEL A CANDIDATURES INTERNES ET EXTERNES POUR LE RECRUTEMENT D’UN.E (01) EXPERT.E EN COMMUNICATION POUR LE CLUSTER VERT FORET ENVIRONNEMENT CLIMAT DE LA DEUTSCHE GESELLSCHAFT FÜR INTERNATIONALE ZUSAMMENARBEIT GmbH BASÉ À YAOUNDE. A. CONTEXTE GENERAL Le Cluster Vert de la GIZ au Cameroun
Recrutement LE PELERIN S.A juillet 2026 : 5 Postes Ouverts,2026-07-13T12:12:16.396000+01:00,2026-07-31,cameroondesks,Yaoundé ou Douala (avec possibilité de mutation sur tout le réseau),Centre,Yaoundé,,,,mailto:hcm.recruit@lepelerin.cm,http://hcm.recruit@lepelerin.c; https://drive.google.com/file/d/1shPgjbUoDtW7I1nysMfoCAeB7jj7DCG9/view?usp=sharing,"APPEL À CANDIDATURES : LE PELERIN S.A RECRUTE LE PELERIN S.A, établissement de microfinance de deuxième catégorie dont le siège social est basé à Yaoundé, recrute pour le renforcement de ses effectifs et les besoins de son réseau national. Adresse mail unique pour postuler : hcm.recruit@lepelerin.cm"
Recrutement GULFCAM juillet 2026 : Attaché Commercial,2026-07-13T11:49:59.956000+01:00,2026-07-28,cameroondesks,,Littoral,Douala,,,,,,"GULFCAM S.A.S RECRUTE ! GULFCAM S.A.S, entreprise exerçant dans le domaine de la Distribution pétrolière et du Transport maritime, recherche pour les besoins de ses services un : Attaché Commercial Missions Principales Opérant sous la supervision directe du Directeur Commercial, l’Attaché Commercial"
Recrutement BOULANGERIE SAKER juillet 2026 : Technico-commerciaux,2026-07-13T10:30:40.049000+01:00,,cameroondesks,,,,,,,mailto:drhsaker@yahoo.com,,"APPEL À CANDIDATURE Recrutement des Technico-commerciaux de surfaces de ventes Dans le cadre de l’animation de ses activités commerciales, la Boulangerie Pâtisserie SAKER Sarl porte à la connaissance du grand public qu’elle procède au recrutement des technico-commerciaux sans distinction de sexe. Pr"
Recrutement DÔVV Cameroun juillet 2026 : Hôtesses de Vente,2026-07-13T09:48:11.677000+01:00,2026-07-30,cameroondesks,,Centre,Yaoundé,,,,,,"APPEL A CANDIDATURE EXTERNE Dans le cadre du renforcement de ses équipes et pour les besoins de ses services, DÔVV DISTRIBUTION SA lance un appel à candidature à Yaoundé pour le recrutement de : Hôtesses de Vente et d’Animation Commerciale Responsabilités Principales (Missions) Assurer l'accueil, l'"
Recrutement INUBIL jullet 2026 : Enseignants Vacataires,2026-07-13T09:25:25.138000+01:00,2026-07-20,cameroondesks,,Littoral,Douala,,,,mailto:istama@istamacameroon.com,,COMMUNIQUE N°013/INUBIL/DAAC/du 07 Juillet 2026 Appel à candidature pour le recrutement d'enseignants vacataires à l'Institut Universitaire Bilingue du Littoral (INUBIL) Le Directeur général de l'Institut Universitaire Bilingue du Littoral (INUBIL) porte à la connaissance du public que des postes d'
Recrutement Express Exchange juillet 2026 : Agents de Recouvrement,2026-07-13T08:53:35.199000+01:00,2026-07-20,cameroondesks,"Régions du Centre, de l'Ouest et du Littoral",,,,,,mailto:talktous@expressexchangefinancial.cm,https://expressexchangefinancial.cm/recrut/,"Express Exchange Financial S.A (E.E.F. S.A), la finance au service du progrès, recrute des Agents de Recouvrement pour renforcer ses équipes. Lieu d'affectation : Régions du Centre, de l'Ouest et du Littoral. Date limite de recevabilité des dossiers : Au plus tard le 20 Juillet 2026 à 18h00. Mission"
MAMS Restaurant recrute un(e) Assistant cuisine,2026-07-13T00:00:00+01:00,2026-07-20,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:mamsrestaurant2025@gmail.com,,"MAMS Restaurant recrute un(e) Assistant cuisine MAM'S , service de restauration en ligne spécialisé dans la confection et la livraison de plats typiques camerounais, recrute une Assistante cuisine pour la ville de Douala (Douala 5e). Activités principales • Excellente connaissance des techniques cul"
CECIC S.A. recrute des Caissières,2026-07-13T00:00:00+01:00,2026-07-17,jobincamer,"Tout le Cameroun, Cameroun",,,Débutant (moins de 2 ans d'expérience),,,mailto:cai.service.rh@cecic-sa.cm,,"CECIC S.A. recrute des Caissières CECIC , institution de microfinance de catégorie 2, cherche à renforcer ses effectifs en recrutant des Caissiers/Caissières pour l'ensemble de son parc d'agences. Missions • Assurer la tenue de la caisse de l'agence • Réaliser les transactions effectuées au guichet "
Blessing Petroleum recrute un(e) Responsable Informatique,2026-07-13T00:00:00+01:00,2026-07-17,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement.rh@blessingpetroleum.net,,"Blessing Petroleum recrute un(e) Responsable Informatique BLESSING PETROLEUM S.A. lance une Appel à candidatures pour le recrutement d'un Responsable Infrastructure et Exploitation Informatique . Description du poste En tant que Responsable Infrastructure et Exploitation Informatique, vous endossez "
L'agence GEDCOOP recrute un(e) Commercial (125 000 Fcfa),2026-07-13T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Non spécifié,Entre 125 000 FCFA – 100 000 FCFA,Télétravail,mailto:contact@mezescorp.cloud,,"L'agence GEDCOOP recrute un(e) Commercial (125 000 Fcfa) Commercial Sédentaire/Gestionnaire de Prospects (H/F) Dans le cadre du lancement d’une vaste campagne publicitaire pour notre offre, nous recrutons un(e) Commercial(e) doté(e) d’un bon bagout et d’un esprit de persuasion, afin de gérer l’afflu"
Recherche d'un(e) Ingénieur Génie Civil,2026-07-13T00:00:00+01:00,2026-07-22,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:bdgoffice@yahoo.com,,"Recherche d'un(e) Ingénieur Génie Civil Département: Technique/Projets/Travaux Supérieur hiérarchique: Directeur Technique/Chef de Projet/Directeur des Travaux Lieu d'affectation: Au siège social de l'entreprise et sur les différents chantiers de construction. Mission principale Élaborer, organiser,"
