title,published,deadline,source,category,location,region,ville,apply_email,apply_url,summary
Concours IUT 2026 : Découvrez votre centre d'examen,2026-07-03T12:56:36.395000+01:00,,cameroondesks,concours,,,,,https://play.google.com/store/apps/details?id=com.cameroondesk.myconcours,"Concours d'entrée à l'IUT 2026 : Découvrez votre centre d'examen par ville ! La direction de l’Institut Universitaire de Technologie (IUT) vient de publier la répartition officielle des centres de composition pour la session du 07 juillet 2026 . Afin de composer dans les meilleures conditions, chaqu"
Concours ISTL Bamenda 2026,2026-07-02T14:37:24.781000+01:00,2026-09-23,cameroondesks,concours,,,,,https://drive.google.com/file/d/1I_g9g0yzhvR2ahPeKv5UfUnbPfXc0mgZ/view?usp=sharing,Concours ISTL 2026 : 670 places disponibles à l'Université de Bamenda ! Le Ministère de l'Enseignement Supérieur a lancé le concours d'entrée en 1ère année à l'Institut Supérieur des Transports et de la Logistique (ISTL) pour l'année 2026/2027. Les filières proposées : Transit et Logistique : 150 pl
Concours d'entrée à L'IFCPA/CRTV 2026,2026-07-02T14:21:06.348000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1QfDzBtrEN9kPb1S8g9CsvzFdJsGD1-hM/view?usp=sharing; https://cutt.ly/1erkpXpm,"Le Directeur Général de la CRTV porte à la connaissance des citoyens de nationalité camerounaise et étrangère, que : Une deuxième session du concours d'entrée à l’Institut de Formation et de Conservation du Patrimoine Audiovisuel de la CRTV (IFPCA-CRTV) Download the order Télécharger l'arrêté &nbsp;"
Concours FHS Université de Bamenda 2026,2026-07-02T14:01:43.086000+01:00,,cameroondesks,concours,,Nord-Ouest,Bamenda,,https://www.google.com/url?source=gmail&sa=E&q=http://www.fhs.uniba.cm; https://drive.google.com/file/d/1VtLb9CsG5EoYVnxrlMPDM4eunuvFSPQU/view?usp=sharing,"Concours FHS Université de Bamenda 2026 : Ouverture des inscriptions en Soins Infirmiers, Sage-Femmes et Sciences de Laboratoire Médical Bonne nouvelle pour les bacheliers et titulaires du GCE A/L scientifiques ! Le Ministre d'État, Ministre de l'Enseignement Supérieur, a officiellement lancé le con"
Graduate Program Boissons du Cameroun 2026,2026-07-02T09:37:42.617000+01:00,,cameroondesks,bourse,,,,mailto:sabc.recrutement@castel-afrique.com,https://boissonsducameroun.com/programme-pour-reussir/les-offres-demplois/#,"Boissons du Cameroun | SOCAVER | SEMC Chaque grande carrière commence par une opportunité. Si vous avez moins de 30 ans et que vous rêvez de faire la différence, rejoignez le Graduate Program de Boissons du Cameroun et écrivez votre histoire avec nous. Progr@mmé(e) pour Réussir. Apprendre. Performer"
Liste des Concours Lancés au Cameroun Actuellement: Mise à Jour 2026,2026-07-02T08:35:04.625000+01:00,2026-09-10,cameroondesks,concours,,,,,https://play.google.com/store/apps/details?id=com.cameroondesk.myconcours; https://drive.google.com/file/d/14b2Pfw9RCdFTYCvwzAaz3wMJpgEZbIFb/view?usp=sharing; https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L1_Conception_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L1_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L3_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/IUT-FV_Dschang_Bandjoun.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/Veterinaire_L2_Buea.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/ENSAHV_Agronome_L1_Dla_Yabassi.pdf; https://cameroondeskacademy.com/category/epreuves-concours/,"Se tenir informé des concours lancés au Cameroun actuellement est crucial pour tout étudiant ou jeune diplômé visant l’admission dans une grande école : ENSTP, FASA, ENEF… Connaître les concours en cours au Cameroun vous permet de déposer à temps un dossier complet, et de maximiser vos chances d’int"
Concours Fonction Publique Cameroun 2026 : 2 305 places (MINFOPRA),2026-06-29T07:50:21+01:00,2026-08-21,infospratiques,concours,,,,,,"Le Ministre de la Fonction Publique et de la Réforme Administrative (MINFOPRA) , Joseph LE, a signé le 4 juin 2026 une série de 36 arrêtés portant ouverture des concours de la saison 2026 : concours de formation, concours directs, concours professionnels et tests de sélection. Au total, environ 2 30"
Concours Gardiens de la Paix Cameroun 2026 : 1735 places (CEP/FSLC),2026-06-29T07:45:51+01:00,2026-07-31,infospratiques,concours,,Centre,Yaoundé,,,"La Délégation Générale à la Sûreté Nationale (DGSN) a ouvert, par arrêté signé le 15 juin 2026, un concours direct pour le recrutement de 1 735 élèves-gardiens de la paix au Centre d&rsquo;Instruction et d&rsquo;Application de la Police de Mutengene. C&rsquo;est le plus important contingent du recru"
Bourses d'études aux États-Unis pour les étudiants africains 2026/2027,2026-06-28T07:55:00+01:00,,cameroondesks,bourse,,,,,https://www.commentpostuler.com/2025/08/bourse-gates-entierement-financees-aux-etats-unis.html; https://www.wellesley.edu/; https://www.stanford.edu/; https://www.asu.edu/; https://mcfscholarsprogram.berkeley.edu/; https://mcfscholars.isp.msu.edu/index.html; http://mcfscholars.duke.edu/; https://foreign.fulbrightonline.org/apply,Bourses d'études aux États-Unis pour les étudiants africains 2026 Liste des Bourses d'études aux USA pour les étudiants africains 2026/2027 Vous souhaitez étudier aux États-Unis grâce à une bourse d'études ? Un certain nombre d'universités et d'organisations américaines proposent des bourses d'étude
700 Fully Funded Humboldt Research Fellowship 2027 in Germany,2026-06-25T05:50:00+01:00,,cameroondesks,bourse,,,,,https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/humboldt-research-fellowship#h1275,Applications are open for the Humboldt Research Fellowship in Germany. It is a fully funded research fellowship for the duration of 6 to 24 months. The Humboldt Research Fellowship is a prestigious program offered by the Alexander von Humboldt Foundation. It supports you with your research in German
